Clause ID,Document,Number,Title,Statutory reference,Input type,Firm review status
iar.title,Independent Auditor's Report,-,Title - Independent Auditor's Report,SA 700 para 21,static,Approved
iar.addressee,Independent Auditor's Report,-,Addressee - To the Members of the company,SA 700 para 22,computed,Approved
iar.head.fs,Independent Auditor's Report,-,Heading - Report on the Audit of the Financial Statements,SA 700 para 23,static,Approved
iar.opinion.type,Independent Auditor's Report,-,Opinion type selector,SA 700 para 24-26; SA 705,select,Approved
iar.opinion.body,Independent Auditor's Report,-,"Opinion paragraph - identification of financial statements, period and framework",SA 700 para 25,computed,Approved
iar.basis.opinion,Independent Auditor's Report,-,Basis for Opinion,SA 700 para 28,static,Approved
iar.basis.modified,Independent Auditor's Report,-,Basis for Qualified / Adverse / Disclaimer of Opinion - description of matter,SA 705 para 20-22,textarea,Approved
iar.gc.mu,Independent Auditor's Report,-,Material Uncertainty Related to Going Concern,SA 570 para 22-23,textarea,Approved
iar.kam,Independent Auditor's Report,-,Key Audit Matters,SA 701,table,Approved
iar.eom,Independent Auditor's Report,-,Emphasis of Matter paragraph,SA 706 para 8-9,textarea,Approved
iar.om,Independent Auditor's Report,-,Other Matter paragraph,SA 706 para 10-11,textarea,Approved
iar.other.info,Independent Auditor's Report,-,Information Other than the Financial Statements and Auditor's Report Thereon,SA 720 (Revised),select,Approved
iar.resp.mgmt,Independent Auditor's Report,-,Responsibilities of Management and Those Charged with Governance for the Financial Statements,SA 700 para 33-36; s.134(5),static,Approved
iar.resp.auditor,Independent Auditor's Report,-,Auditor's Responsibilities for the Audit of the Financial Statements,SA 700 para 37-40,static,Approved
iar.head.rolr,Independent Auditor's Report,-,Heading - Report on Other Legal and Regulatory Requirements,SA 700 para 43,static,Approved
iar.caro.ref,Independent Auditor's Report,-,Reference to CARO 2020 annexure,s.143(11); CARO 2020 para 2,static,Approved
iar.143.3.a,Independent Auditor's Report,(a),Whether all information and explanations sought were obtained,s.143(3)(a),select,Approved
iar.143.3.b,Independent Auditor's Report,(b),Whether proper books of account as required by law have been kept,s.143(3)(b),select,Approved
iar.143.3.c,Independent Auditor's Report,(c),Whether branch audit reports were received and how dealt with,s.143(3)(c); s.143(8),select,Approved
iar.143.3.d,Independent Auditor's Report,(d),Whether the financial statements dealt with are in agreement with the books of account and returns,s.143(3)(d),select,Approved
iar.143.3.e,Independent Auditor's Report,(e),Whether the financial statements comply with the accounting standards,s.143(3)(e); s.133,select,Approved
iar.143.3.f,Independent Auditor's Report,(f),Observations or comments on financial transactions having an adverse effect on the functioning of the company,s.143(3)(f),textarea,Approved
iar.143.3.g,Independent Auditor's Report,(g),Whether any director is disqualified from being appointed under s.164(2),s.143(3)(g); s.164(2),select,Approved
iar.143.3.h,Independent Auditor's Report,(h),"Any qualification, reservation or adverse remark relating to maintenance of accounts",s.143(3)(h),textarea,Approved
iar.143.3.i,Independent Auditor's Report,(i),Adequacy and operating effectiveness of internal financial controls with reference to financial statements,s.143(3)(i),select,Approved
iar.197.16,Independent Auditor's Report,-,Managerial remuneration - compliance with s.197,s.197(16),select,Approved
iar.r11.a,Independent Auditor's Report,(a),Impact of pending litigations on the financial position,"Rule 11(a), Companies (Audit and Auditors) Rules 2014",select,Approved
iar.r11.b,Independent Auditor's Report,(b),Provision for material foreseeable losses on long-term contracts including derivative contracts,Rule 11(b),select,Approved
iar.r11.c,Independent Auditor's Report,(c),Delay in transferring amounts to the Investor Education and Protection Fund,Rule 11(c),select,Approved
iar.r11.d,Independent Auditor's Report,(d),OMITTED - formerly Specified Bank Notes disclosure,Rule 11(d) - omitted w.e.f. 01-04-2021,static,Approved
iar.r11.e.i,Independent Auditor's Report,(e)(i),Management representation - no funds advanced/loaned/invested to intermediaries for lending to Ultimate Beneficiaries,Rule 11(e)(i),select,Approved
iar.r11.e.ii,Independent Auditor's Report,(e)(ii),Management representation - no funds received from Funding Parties for onward lending to Ultimate Beneficiaries,Rule 11(e)(ii),select,Approved
iar.r11.e.iii,Independent Auditor's Report,(e)(iii),Whether anything came to notice causing belief that representations under (i) and (ii) contain material misstatement,Rule 11(e)(iii),select,Approved
iar.r11.f,Independent Auditor's Report,(f),Dividend declared or paid during the year - compliance with s.123,Rule 11(f),select,Approved
iar.r11.g,Independent Auditor's Report,(g),"Audit trail (edit log) feature in accounting software - use, operation and preservation",Rule 11(g),select,Approved
iar.sig,Independent Auditor's Report,-,"Signature block - firm name, FRN, partner name, membership number, UDIN, place, date",SA 700 para 45-49; ICAI UDIN Guidelines,computed,Approved
caro.applicability,CARO 2020,-,Applicability and exemptions determination,CARO 2020 para 1(2),computed,Approved
caro.preamble,CARO 2020,-,Annexure preamble - reference to paragraph in Report on Other Legal and Regulatory Requirements,CARO 2020 para 2,static,Approved
caro.i.a.A,CARO 2020,(i)(a)(A),"Proper records showing full particulars including quantitative details and situation of Property, Plant and Equipment",CARO 2020 para 3(i)(a)(A),select,Approved
caro.i.a.B,CARO 2020,(i)(a)(B),Proper records showing full particulars of intangible assets,CARO 2020 para 3(i)(a)(B),select,Approved
caro.i.b,CARO 2020,(i)(b),Physical verification of PPE at reasonable intervals and treatment of material discrepancies,CARO 2020 para 3(i)(b),select,Approved
caro.i.c,CARO 2020,(i)(c),Title deeds of immovable properties held in the name of the company,CARO 2020 para 3(i)(c),table,Approved
caro.i.d,CARO 2020,(i)(d),Revaluation of PPE or intangible assets during the year - registered valuer and 10% change threshold,CARO 2020 para 3(i)(d),select,Approved
caro.i.e,CARO 2020,(i)(e),Proceedings initiated or pending under the Benami Transactions (Prohibition) Act 1988,CARO 2020 para 3(i)(e),select,Approved
caro.ii.a,CARO 2020,(ii)(a),Physical verification of inventory at reasonable intervals; discrepancies of 10% or more for each class,CARO 2020 para 3(ii)(a),select,Approved
caro.ii.b,CARO 2020,(ii)(b),Working capital limits in excess of Rs.5 crore sanctioned on security of current assets; agreement of quarterly returns with books,CARO 2020 para 3(ii)(b),select,Approved
caro.iii.a,CARO 2020,(iii)(a),"Aggregate amount and balance outstanding of loans, advances in the nature of loans, guarantees and security granted",CARO 2020 para 3(iii)(a),table,Approved
caro.iii.b,CARO 2020,(iii)(b),Whether terms and conditions of grants are prejudicial to the company's interest,CARO 2020 para 3(iii)(b),select,Approved
caro.iii.c,CARO 2020,(iii)(c),Schedule of repayment of principal and payment of interest stipulated and regularity of receipts,CARO 2020 para 3(iii)(c),select,Approved
caro.iii.d,CARO 2020,(iii)(d),Amount overdue for more than ninety days and steps taken for recovery,CARO 2020 para 3(iii)(d),select,Approved
caro.iii.e,CARO 2020,(iii)(e),"Loans falling due renewed or extended, or fresh loans granted to settle overdues of existing loans",CARO 2020 para 3(iii)(e),select,Approved
