Sr. No.,COSO Component,Sub-Process Name,Risk ID,Risk Description,Control Objective,Control Activity,Financial Statement Assertion,Control Type,Manual / Automated,Control Frequency,Design Deficiency (Yes/No),Design Deficiency Description,Operating Effectiveness Deficiency (Yes/No),Operating Deficiency Description,Process Owner (Department),Reference (COSO Principle)
1,Control Environment,Blank Cheque Management and Controls,CE01,Lack of clear commitment to integrity and ethical values in cheque management.,Ensure all branches and head office are committed to integrity and ethical values regarding cheque management.,"Establish a written policy on integrity and ethical values for cheque management, ensuring all employees are aware of it.",,Preventive,Manual,Ongoing,Yes,The SOP does not explicitly mention a policy on integrity and ethical values for cheque management.,,,Finance,
2,Control Environment,Blank Cheque Management and Controls,CE02,Inadequate oversight responsibility for cheque management.,Ensure the board exercises appropriate oversight responsibility over cheque management practices.,The board should review and approve policies related to cheque management regularly.,,Preventive,Manual,Quarterly,Yes,The SOP does not mention any oversight responsibility for cheque management.,,,Finance,
3,Control Environment,Confirmation of Receipts,CE01,Lack of clear commitment to integrity and ethical values in the process.,Ensure adherence to ethical standards.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on ethical standards and integrity.,,,Finance,
4,Control Environment,Confirmation of Receipts,CE02,Insufficient oversight by the board on financial processes.,Ensure effective oversight responsibility.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on board oversight responsibilities.,,,Finance,
5,Control Environment,Confirmation of Receipts,CE03,"Inadequate structure, authority, and responsibility within the process.",Establish clear roles and responsibilities.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear roles and responsibilities within the process.,,,Finance,
6,Control Environment,Confirmation of Receipts,CE04,Lack of commitment to competence in financial processes.,Ensure competent performance of tasks.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on competence requirements.,,,Finance,
7,Control Environment,Confirmation of Receipts,CE05,No enforcement of accountability in the process.,Ensure accountability is enforced.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on accountability enforcement.,,,Finance,
8,Risk Assessment,Confirmation of Receipts,RA01,Inadequate risk identification and analysis in the process.,Identify and analyze risks effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on risk identification and analysis.,,,Finance,
9,Risk Assessment,Confirmation of Receipts,RA02,Inadequate risk assessment in the process.,Assess risks effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on risk assessment.,,,Finance,
10,Risk Assessment,Confirmation of Receipts,RA03,Inadequate fraud risk assessment in the process.,Assess and mitigate fraud risks.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on fraud risk assessment.,,,Finance,
11,Risk Assessment,Confirmation of Receipts,RA04,Inadequate identification and analysis of significant changes in the process.,Identify and analyze significant changes effectively.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on identifying and analyzing significant changes.,,,Finance,
12,Control Activities,Confirmation of Receipts,CA01,Inadequate selection and development of control activities.,Select appropriate control activities.,Not applicable — no relevant activity identified in SOP for this process,,,,,Yes,The SOP lacks clear guidance on selecting and developing control activities.,,,Finance,
