Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
RET/24-25/102308,2024-12-14 17:34:00,UPI / Card Collections,Walk-in Customer,0.0,2683.45,Being upi / card collections recorded for Walk-in Customer,Grocery Section,store_mgr_sharma
RET/24-25/122404,2025-03-19 20:56:00,UPI / Card Collections,Walk-in Customer,0.0,9568.12,Being upi / card collections recorded for Walk-in Customer,Store Godown,store_mgr_sharma
RET/24-25/123397,2024-06-20 18:34:00,Vendor Purchase - FMCG,Parle & Britannia Agency,2514.5,0.0,Being vendor purchase - fmcg recorded for Parle & Britannia Agency,Retail Counter 1,cashier_priya
RET/24-25/125058,2024-12-17 13:37:00,UPI / Card Collections,UPI / Card Swipes,0.0,3787.17,Being upi / card collections recorded for UPI / Card Swipes,Dairy Section,cashier_amit
RET/24-25/102664,2024-05-18 21:23:00,Marketing & Promo Discounts,Shree Ganesh Packaging,2445.9,0.0,Being marketing & promo discounts recorded for Shree Ganesh Packaging,Retail Counter 1,store_mgr_sharma
RET/24-25/108511,2024-06-23 17:45:00,Vendor Purchase - FMCG,QuickMart Distributor,2864.1,0.0,Being vendor purchase - fmcg recorded for QuickMart Distributor,Express Checkout,cashier_amit
RET/24-25/105148,2025-01-06 11:45:00,Vendor Purchase - FMCG,QuickMart Distributor,3535.45,0.0,Being vendor purchase - fmcg recorded for QuickMart Distributor,Express Checkout,cashier_priya
RET/24-25/107790,2024-04-07 18:16:00,POS Cash Sales,Walk-in Customer,0.0,1553.34,Being pos cash sales recorded for Walk-in Customer,Dairy Section,cashier_priya
RET/24-25/111311,2024-04-25 14:54:00,Vendor Purchase - Staples,Sundry Creditors Pool,331.95,0.0,Being vendor purchase - staples recorded for Sundry Creditors Pool,Back Office,accountant_verma
RET/24-25/119043,2024-06-28 21:50:00,UPI / Card Collections,Walk-in Customer,0.0,1167.63,Being upi / card collections recorded for Walk-in Customer,Back Office,cashier_rahul
RET/24-25/110784,2024-08-09 21:34:00,Vendor Purchase - FMCG,SafeGuard Security Agency,10450.88,0.0,Being vendor purchase - fmcg recorded for SafeGuard Security Agency,Express Checkout,accountant_verma
RET/24-25/122246,2024-06-22 09:11:00,POS Cash Sales,UPI / Card Swipes,0.0,13510.57,Being pos cash sales recorded for UPI / Card Swipes,Store Godown,store_mgr_sharma
RET/24-25/103268,2024-12-07 11:27:00,UPI / Card Collections,UPI / Card Swipes,0.0,1809.63,Being upi / card collections recorded for UPI / Card Swipes,Retail Counter 1,accountant_verma
RET/24-25/115947,2024-10-13 17:53:00,Customer Sales Returns & Refunds,Walk-in Customer,0.0,2389.92,Being customer sales returns & refunds recorded for Walk-in Customer,Express Checkout,cashier_priya
RET/24-25/114977,2024-07-23 21:53:00,POS Cash Sales,UPI / Card Swipes,0.0,2153.86,Being pos cash sales recorded for UPI / Card Swipes,Grocery Section,cashier_amit
RET/24-25/114474,2024-06-06 11:05:00,UPI / Card Collections,UPI / Card Swipes,0.0,439.52,Being upi / card collections recorded for UPI / Card Swipes,Dairy Section,cashier_rahul
RET/24-25/SUN-300794,2025-01-05 23:44:00,Customer Sales Returns & Refunds,Walk-in Customer (Unverified),4711.3,0.0,Night closing cash adjustment / defective goods return,Back Office,cashier_amit
RET/24-25/114054,2024-06-27 18:30:00,UPI / Card Collections,Walk-in Customer,0.0,1210.42,Being upi / card collections recorded for Walk-in Customer,Retail Counter 2,cashier_amit
RET/24-25/RND-201045,2024-12-31 10:21:00,Marketing & Promo Discounts,Daily Fresh Veggies Co.,25000.0,0.0,Urgent cash settlement round voucher - Marketing & Promo Discounts,Back Office,cashier_amit
RET/24-25/114980,2024-11-14 13:03:00,UPI / Card Collections,Walk-in Customer,0.0,283.61,Being upi / card collections recorded for Walk-in Customer,Retail Counter 2,accountant_verma
RET/24-25/117636,2024-08-19 10:24:00,Vendor Purchase - Staples,SafeGuard Security Agency,2716.09,0.0,Being vendor purchase - staples recorded for SafeGuard Security Agency,Grocery Section,accountant_verma
RET/24-25/103931,2025-01-04 16:01:00,Vendor Purchase - FMCG,QuickMart Distributor,9763.84,0.0,Being vendor purchase - fmcg recorded for QuickMart Distributor,Dairy Section,store_mgr_sharma
RET/24-25/108387,2024-10-27 14:53:00,Vendor Purchase - FMCG,Anand Stationary,2167.74,0.0,Being vendor purchase - fmcg recorded for Anand Stationary,Store Godown,cashier_rahul
RET/24-25/108028,2024-06-21 17:10:00,UPI / Card Collections,Walk-in Customer,0.0,161.96,Being upi / card collections recorded for Walk-in Customer,Grocery Section,cashier_priya
RET/24-25/109482,2024-12-19 20:04:00,POS Cash Sales,Walk-in Customer,0.0,214.51,Being pos cash sales recorded for Walk-in Customer,Retail Counter 2,cashier_rahul
RET/24-25/122572,2025-03-20 18:36:00,UPI / Card Collections,UPI / Card Swipes,0.0,1035.42,Being upi / card collections recorded for UPI / Card Swipes,Retail Counter 2,store_mgr_sharma
RET/24-25/115107,2024-09-09 14:00:00,UPI / Card Collections,Walk-in Customer,0.0,959.81,Being upi / card collections recorded for Walk-in Customer,Retail Counter 2,cashier_amit
RET/24-25/103673,2025-02-23 21:56:00,UPI / Card Collections,Walk-in Customer,0.0,3890.16,Being upi / card collections recorded for Walk-in Customer,Retail Counter 1,cashier_priya
RET/24-25/121388,2024-11-19 18:59:00,POS Cash Sales,Walk-in Customer,0.0,682.36,Being pos cash sales recorded for Walk-in Customer,Dairy Section,cashier_rahul
RET/24-25/105937,2024-05-10 10:41:00,Marketing & Promo Discounts,Cashier Petty Cash Pool,171.61,0.0,Being marketing & promo discounts recorded for Cashier Petty Cash Pool,Back Office,cashier_rahul
RET/24-25/RND-201533,2024-11-05 11:41:00,Marketing & Promo Discounts,Daily Fresh Veggies Co.,20000.0,0.0,Urgent cash settlement round voucher - Marketing & Promo Discounts,Back Office,cashier_amit
RET/24-25/SUN-301371,2024-12-15 22:08:00,Customer Sales Returns & Refunds,Walk-in Customer (Unverified),4391.9,0.0,Night closing cash adjustment / defective goods return,Back Office,cashier_amit
RET/24-25/121880,2024-10-30 12:59:00,Vendor Purchase - Staples,Hindustan Consumer Supplies,1303.72,0.0,Being vendor purchase - staples recorded for Hindustan Consumer Supplies,Grocery Section,store_mgr_sharma
RET/24-25/106508,2025-03-26 14:28:00,Vendor Purchase - FMCG,City Bright Electricals,273.09,0.0,Being vendor purchase - fmcg recorded for City Bright Electricals,Retail Counter 2,accountant_verma
RET/24-25/121457,2025-02-17 18:43:00,UPI / Card Collections,Walk-in Customer,0.0,2073.51,Being upi / card collections recorded for Walk-in Customer,Store Godown,cashier_amit
RET/24-25/120071,2025-03-04 11:28:00,POS Cash Sales,UPI / Card Swipes,0.0,3243.45,Being pos cash sales recorded for UPI / Card Swipes,Store Godown,store_mgr_sharma
RET/24-25/RND-201512,2024-09-27 19:28:00,Marketing & Promo Discounts,Daily Fresh Veggies Co.,20000.0,0.0,Urgent cash settlement round voucher - Marketing & Promo Discounts,Back Office,cashier_amit
RET/24-25/110092,2025-02-07 13:34:00,Vendor Purchase - Staples,QuickMart Distributor,54.84,0.0,Being vendor purchase - staples recorded for QuickMart Distributor,Express Checkout,cashier_priya
RET/24-25/122567,2024-12-19 16:11:00,UPI / Card Collections,Walk-in Customer,0.0,47364.85,Being upi / card collections recorded for Walk-in Customer,Express Checkout,cashier_rahul
RET/24-25/112976,2024-06-04 21:58:00,Packaging Materials,Rapid Logistics Services,3721.28,0.0,Being packaging materials recorded for Rapid Logistics Services,Dairy Section,cashier_rahul
RET/24-25/103813,2025-01-09 14:26:00,Director / Owner Drawings,Amul Dairy Dist.,1520.77,0.0,Being director / owner drawings recorded for Amul Dairy Dist.,Retail Counter 1,cashier_priya
RET/24-25/107337,2024-10-06 18:25:00,Marketing & Promo Discounts,Metro Cash & Carry,139.89,0.0,Being marketing & promo discounts recorded for Metro Cash & Carry,Grocery Section,cashier_rahul
RET/24-25/124483,2024-05-16 10:16:00,POS Cash Sales,Walk-in Customer,0.0,784.96,Being pos cash sales recorded for Walk-in Customer,Retail Counter 1,cashier_rahul
RET/24-25/119592,2024-04-09 09:10:00,UPI / Card Collections,Walk-in Customer,0.0,10245.92,Being upi / card collections recorded for Walk-in Customer,Express Checkout,store_mgr_sharma
RET/24-25/105121,2024-10-07 16:43:00,UPI / Card Collections,Walk-in Customer,0.0,759.76,Being upi / card collections recorded for Walk-in Customer,Back Office,cashier_rahul
