Sl. No.,Vendor Name,Recipient Email,Contract Number,Contract Date,Purpose of BG,BG Number,BG Date,Issuing Bank,IFS Code,Branch Details,BG Amount (INR),Date of Expiry,Status
1,Sunrise Infra Projects Pvt Ltd,accounts@sunriseinfra.example,WO/2025/0412,02-08-2025,Performance Security,BG0045521,22-08-2025,State Bank of India,SBIN0009123,Saheed Nagar,"1,25,00,000",12-09-2026,Active
2,Konark Electricals Ltd,finance@konarkelec.example,PO/2025/1189,10-11-2025,Mobilisation Advance,BG0071204,20-11-2025,Punjab National Bank,PUNB0123400,Cuttack Main,"85,00,000",15-09-2026,Active
3,Mahanadi Constructions,md@mahanadiconst.example,WO/2025/0655,30-11-2025,Performance Security,BG0088013,05-12-2025,Bank of Baroda,BARB0RASULG,Rasulgarh,"2,40,00,000",23-09-2026,Active
4,Utkal Steel & Cement,ar@utkalsteel.example,PO/2025/2210,30-12-2025,Retention,BG0091447,09-01-2026,State Bank of India,SBIN0009123,Saheed Nagar,"46,50,000",30-09-2026,Active
5,Deepak Engineering Works,office@deepakew.example,WO/2026/0031,18-02-2026,EMD,BG0102998,28-02-2026,Canara Bank,CNRB0001982,Jaydev Vihar,"12,00,000",04-10-2026,Active
6,Sunrise Infra Projects Pvt Ltd,accounts@sunriseinfra.example,WO/2025/0788,11-09-2025,Mobilisation Advance,BG0046610,21-09-2025,State Bank of India,SBIN0009123,Saheed Nagar,"95,00,000",17-10-2026,Active
7,Bhagabati Traders,admin@bhagabati.example,PO/2026/0104,09-05-2026,Performance Security,BG0115577,19-05-2026,Union Bank of India,UBIN0553441,Chandrasekharpur,"33,75,000",28-10-2026,Active
8,Kalinga Power Systems,contracts@kalingapower.example,WO/2026/0210,08-06-2026,Performance Security,BG0121030,13-06-2026,Bank of Baroda,BARB0RASULG,Rasulgarh,"1,60,00,000",18-11-2026,Active
9,Neelachal Fabricators,office@neelachalfab.example,PO/2026/0388,08-07-2026,Retention,BG0129844,13-07-2026,HDFC Bank,HDFC0000412,Forest Park,"28,90,000",11-12-2026,Active
10,Mahanadi Constructions,md@mahanadiconst.example,WO/2026/0455,23-07-2026,Mobilisation Advance,BG0133019,28-07-2026,Punjab National Bank,PUNB0123400,Cuttack Main,"1,10,00,000",06-01-2027,Active
11,Konark Electricals Ltd,finance@konarkelec.example,PO/2026/0511,07-08-2026,Performance Security,BG0137742,12-08-2026,Canara Bank,CNRB0001982,Jaydev Vihar,"67,00,000",07-02-2027,Active
12,Trident Enviro Solutions,,WO/2026/0502,12-08-2026,EMD,BG0140155,17-08-2026,HDFC Bank,HDFC0000412,Forest Park,"9,50,000",06-03-2027,Active
13,Odisha Cable Industries,sales@odishacable.example,PO/2025/0901,13-07-2025,Performance Security,BG0038891,23-07-2025,Union Bank of India,UBIN0553441,Chandrasekharpur,"54,00,000",29-08-2026,Active
14,Vedanta Logistics,ops@vedantalog.example,WO/2025/0220,24-04-2025,Retention,BG0030112,29-04-2025,State Bank of India,SBIN0009123,Saheed Nagar,"21,00,000",08-07-2026,Released
15,Puri Marine Works,admin@purimarine.example,PO/2026/0620,22-08-2026,Performance Security,BG0142880,27-08-2026,#N/A,SBIN0XXXXXX,#N/A,"72,40,000",09-11-2026,Active
16,Chilika Marine Services,ops@chilikamarine.example,WO/2026/0701,29-08-2026,EMD,BG0144902,01-09-2026,Canara Bank,CNRB0001982,Jaydev Vihar,"15,00,000",09-11-2026,Active
