Voucher_No,Date,Account_Head,Party_Name,Debit_Amount,Credit_Amount,Narration,Cost_Center,Created_By
DRY/24-25/309889,2025-01-23 10:21:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,129.97,Routine voucher booking for premium garment care revenue,Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/300202,2024-09-18 12:23:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,504.5,Routine voucher booking for commercial hotel laundry b2b,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/317293,2024-09-10 18:19:00,Hanger & Poly-Packaging Purchase,Diversey Hygiene Supplies,2856.2,0.0,Routine voucher booking for hanger & poly-packaging purchase,Branch 01 - Connaught Place (Delhi),store_exec_blr
DRY/24-25/316427,2025-03-11 11:52:00,Electricity & Water Tanker Costs,Commercial Property Landlord Pool,4652.09,0.0,Routine voucher booking for electricity & water tanker costs,Branch 02 - South Extension (Delhi),cfo_kapoor
DRY/24-25/321277,2024-08-04 09:57:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,152.91,Routine voucher booking for premium garment care revenue,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/308544,2024-05-05 17:28:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,281.31,Routine voucher booking for commercial hotel laundry b2b,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/307447,2024-07-08 16:48:00,Steam Boiler Diesel & LPG,Local Water Tanker Suppliers,3711.19,0.0,Routine voucher booking for steam boiler diesel & lpg,Branch 02 - South Extension (Delhi),store_exec_blr
DRY/24-25/319055,2024-12-04 19:10:00,Dry Cleaning Solvents & Perc,Direct Walk-in Retail Clients,437.45,0.0,Routine voucher booking for dry cleaning solvents & perc,Branch 01 - Connaught Place (Delhi),store_exec_blr
DRY/24-25/313297,2024-04-06 20:59:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,387.45,Routine voucher booking for store front collections (dry clean),Branch 04 - Powai Galleria (Mumbai),store_exec_mumbai
DRY/24-25/314275,2024-12-04 20:04:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,80.0,Routine voucher booking for premium garment care revenue,Branch 02 - South Extension (Delhi),store_exec_mumbai
DRY/24-25/303046,2025-01-23 15:05:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,631.77,Routine voucher booking for premium garment care revenue,Branch 01 - Connaught Place (Delhi),central_accts_ananya
DRY/24-25/311202,2024-04-06 11:20:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1381.45,Routine voucher booking for commercial hotel laundry b2b,Branch 03 - Bandra West (Mumbai),cfo_kapoor
DRY/24-25/311473,2024-09-20 14:37:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,2293.65,Routine voucher booking for store front collections (dry clean),Branch 07 - Jubilee Hills (Hyderabad),store_exec_delhi
DRY/24-25/322483,2024-12-16 12:44:00,Hydro-Extractor Machinery Lease,Commercial Property Landlord Pool,3337.91,0.0,Routine voucher booking for hydro-extractor machinery lease,Branch 03 - Bandra West (Mumbai),store_exec_mumbai
DRY/24-25/317282,2025-03-07 18:13:00,Hanger & Poly-Packaging Purchase,CleanCare Packaging Ltd,713.29,0.0,Routine voucher booking for hanger & poly-packaging purchase,Branch 07 - Jubilee Hills (Hyderabad),store_exec_mumbai
DRY/24-25/302973,2025-03-15 17:50:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,849.4,Routine voucher booking for premium garment care revenue,Branch 07 - Jubilee Hills (Hyderabad),cfo_kapoor
DRY/24-25/320846,2024-08-18 12:01:00,Electricity & Water Tanker Costs,Commercial Property Landlord Pool,256.56,0.0,Routine voucher booking for electricity & water tanker costs,Branch 05 - Indiranagar (Bangalore),store_exec_mumbai
DRY/24-25/308667,2024-08-26 13:35:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1973.48,Routine voucher booking for commercial hotel laundry b2b,Branch 02 - South Extension (Delhi),store_exec_blr
DRY/24-25/LOG-400506,2024-05-16 11:15:00,Van Logistics & Fuel Reimbursements,Blue Dart & Local Bike Logistics,36609.87,0.0,Inter-branch garment transit claim ref VAN-EXP-484,Branch 02 - South Extension (Delhi),central_accts_ananya
DRY/24-25/305119,2024-09-27 19:24:00,Eco-friendly Detergents & Softeners,State Electricity Board,112.77,0.0,Routine voucher booking for eco-friendly detergents & softeners,Central Processing Hub - Bhiwandi,central_accts_ananya
DRY/24-25/315586,2024-12-29 15:55:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1210.54,Routine voucher booking for store front collections (dry clean),Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/314530,2024-05-29 12:19:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,149.63,Routine voucher booking for premium garment care revenue,Central Processing Hub - Bhiwandi,store_exec_mumbai
DRY/24-25/319060,2024-05-31 08:34:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1107.27,Routine voucher booking for commercial hotel laundry b2b,Branch 04 - Powai Galleria (Mumbai),store_exec_delhi
DRY/24-25/316693,2024-05-08 13:02:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,6473.09,Routine voucher booking for premium garment care revenue,Central Processing Hub - Bhiwandi,cfo_kapoor
DRY/24-25/318835,2024-07-09 13:27:00,Hydro-Extractor Machinery Lease,Bharat Petroleum Fuel Corp,1465.32,0.0,Routine voucher booking for hydro-extractor machinery lease,Central Processing Hub - Noida,central_accts_ananya
DRY/24-25/306345,2024-10-31 08:29:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1418.73,Routine voucher booking for store front collections (dry clean),Branch 01 - Connaught Place (Delhi),cfo_kapoor
DRY/24-25/314709,2024-09-07 17:13:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,825.17,Routine voucher booking for commercial hotel laundry b2b,Branch 07 - Jubilee Hills (Hyderabad),store_exec_blr
DRY/24-25/YE-501194,2025-03-11 20:09:00,Loss & Damage Customer Compensation,Special Settlement Provision Pool,156727.82,0.0,Year-end luxury garment settlement provision write-off,Central Processing Hub - Noida,cfo_kapoor
DRY/24-25/301419,2024-07-01 08:21:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,1087.57,Routine voucher booking for commercial hotel laundry b2b,Central Processing Hub - Noida,store_exec_mumbai
DRY/24-25/305813,2024-10-18 16:53:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1589.35,Routine voucher booking for store front collections (dry clean),Branch 02 - South Extension (Delhi),store_exec_delhi
DRY/24-25/320603,2024-09-30 17:31:00,Commercial Hotel Laundry B2B,Taj & Marriott B2B Hotel Pool,0.0,226.43,Routine voucher booking for commercial hotel laundry b2b,Branch 05 - Indiranagar (Bangalore),cfo_kapoor
DRY/24-25/302165,2025-02-07 09:01:00,Premium Garment Care Revenue,Direct Walk-in Retail Clients,0.0,4510.26,Routine voucher booking for premium garment care revenue,Branch 06 - Koramangala (Bangalore),cfo_kapoor
DRY/24-25/315291,2024-07-16 09:17:00,Store Front Collections (Dry Clean),Direct Walk-in Retail Clients,0.0,1257.59,Routine voucher booking for store front collections (dry clean),Branch 06 - Koramangala (Bangalore),store_exec_blr
DRY/24-25/308581,2025-02-04 12:11:00,Van Logistics & Fuel Reimbursements,Taj & Marriott B2B Hotel Pool,2334.07,0.0,Routine voucher booking for van logistics & fuel reimbursements,Branch 04 - Powai Galleria (Mumbai),store_exec_delhi
